,English,English_cleaned,Spanish,French,German
391,what's life like where you live,what is life like where you live,cómo es la vida donde vives,à quoi ressemble la vie là où tu vis,"Wie ist das Leben dort, wo du lebst"
392,what's the meaning of that word,what is the meaning of that word,cual es el significado de esa palabra,quel est le sens de ce mot,was ist die Bedeutung dieses Wortes
393,what's the name of your teacher,what is the name of your teacher,como se llama tu profesor,quel est le nom de votre professeur,wie heißt dein lehrer
394,what's the oldest thing you own,what is the oldest thing you own,que es lo mas antiguo que tienes,quelle est la chose la plus ancienne que vous possédez,was ist das älteste was du besitzt
395,what's the point of coming here,what is the point of coming here,¿Cuál es el punto de venir aquí?,quel est l'intérêt de venir ici,was ist der Sinn hierher zu kommen
396,what's the purpose of your trip,what is the purpose of your trip,Cual es el propósito de su viaje,Quel est le but de ton voyage,was ist der Zweck Ihrer Reise
397,what's this commotion all about,what is this commotion all about,¿De qué se trata esta conmoción?,qu'est-ce que c'est que cette agitation,was hat es mit dieser Aufregung auf sich
398,what's this computer doing here,what is this computer doing here,¿Qué hace esta computadora aquí?,que fait cet ordinateur ici,Was macht dieser Computer hier?
399,what's your favorite board game,what is your favorite board game,Cuál es tu juego de mesa favorito,Quel est votre jeu de société préféré,was ist dein Lieblingsbrettspiel
400,what's your favorite hair style,what is your favorite hair style,cual es tu peinado favorito,quel est votre style de cheveux préféré,was ist deine lieblingsfrisur
401,what's your favorite toothpaste,what is your favorite toothpaste,cual es tu pasta de dientes favorita,quel est votre dentifrice préféré,was ist deine lieblings zahnpasta
402,what's your most expensive wine,what is your most expensive wine,cual es tu vino mas caro,quel est votre vin le plus cher,Was ist dein teuerster Wein?
403,what's your schedule like today,what is your schedule like today,como es tu horario hoy,quel est ton emploi du temps aujourd'hui,wie sieht dein Stundenplan heute aus
404,whatever happened to your pride,whatever happened to your pride,lo que sea que le haya pasado a tu orgullo,quoi qu'il soit arrivé à ta fierté,was auch immer mit deinem Stolz passiert ist
405,when did the robbery take place,when did the robbery take place,cuando fue el robo,quand le vol a-t-il eu lieu,wann fand der überfall statt
406,when did the wedding take place,when did the wedding take place,cuando fue la boda,quand le mariage a-t-il eu lieu,wann fand die hochzeit statt
407,when did you find out the truth,when did you find out the truth,cuando descubriste la verdad,quand as-tu découvert la vérité,wann hast du die wahrheit erfahren
408,when did you visit your friends,when did you visit your friends,cuando visitaste a tus amigos,quand as-tu rendu visite à tes amis,wann hast du deine freunde besucht
409,when do you think he'll be back,when do you think he will be back,¿cuándo crees que volverá?,quand pensez-vous qu'il reviendra,wann denkst du kommt er wieder
410,when does the performance begin,when does the performance begin,cuando empieza la actuacion,quand commence la représentation,wann beginnt die Aufführung
411,when does your next class start,when does your next class start,cuando empieza tu proxima clase,quand commence votre prochain cours,wann beginnt dein nächster kurs
412,"when you're right, you're right",when you are right  you are right,cuando tienes razón tienes razón,quand tu as raison tu as raison,"wenn du Recht hast, hast du Recht"
413,where are you going on vacation,where are you going on vacation,dónde irás de vacaciones,Où vas-tu pour les vacances,Wo wirst du Urlaub machen
414,where are you going this summer,where are you going this summer,a donde vas este verano,où vas-tu cet été,wohin gehst du diesen Sommer
415,where can i buy some toothpaste,where can i buy some toothpaste,donde puedo comprar pasta de dientes,où puis-je acheter du dentifrice,wo kann ich zahnpasta kaufen
416,where can i find an interpreter,where can i find an interpreter,¿Dónde puedo encontrar un intérprete?,où puis-je trouver un interprète,Wo finde ich einen Dolmetscher?
417,where did i put my battery pack,where did i put my battery pack,donde puse mi bateria,où ai-je mis ma batterie,Wo habe ich meinen Akku hingelegt?
418,where did you get all this from,where did you get all this from,de donde sacaste todo esto,d'où viens-tu tout ça,woher hast du das alles
419,where did you get your hair cut,where did you get your hair cut,donde te cortaste el pelo,où t'es-tu fait couper les cheveux,wo hast du dir die haare schneiden lassen
420,where did you put the newspaper,where did you put the newspaper,donde pusiste el periodico,où as-tu mis le journal,wo hast du die zeitung hingelegt
421,where did you take these photos,where did you take these photos,donde tomaste estas fotos,où as-tu pris ces photos,wo hast du diese Fotos gemacht
422,where do you get your hair done,where do you get your hair done,donde te arreglas el pelo,où te fais-tu coiffer,wo lässt du dir die haare machen
423,where do you think we came from,where do you think we came from,¿De dónde crees que venimos?,d'où pensez-vous que nous venons,woher glaubst du kommen wir
424,where do you think you're going,where do you think you are going,A dónde crees que vas,Où penses-tu aller,"wo denkst du, dass du gehst"
425,where do you usually go fishing,where do you usually go fishing,donde sueles ir a pescar,où vas-tu habituellement pêcher,Wo gehst du normalerweise angeln?
426,where exactly should i put this,where exactly should i put this,donde exactamente debo poner esto,où dois-je mettre ça exactement,wo genau soll ich das hinstellen
427,where in australia are you from,where in australia are you from,de que parte de australia eres,d'où viens-tu en Australie,woher in australien kommst du
428,where is the australian embassy,where is the australian embassy,donde esta la embajada de australia,où est l'ambassade d'australie,wo ist die australische botschaft
429,where were these pictures taken,where were these pictures taken,donde fueron tomadas estas fotos,où ont été prises ces photos,wo wurden diese Bilder gemacht
430,where will you have lunch today,where will you have lunch today,donde vas a almorzar hoy,où allez-vous déjeuner aujourd'hui,Wo werden Sie heute zu Mittag essen?
431,where would you like to go next,where would you like to go next,A donde te gustaría ir ahora,Où aimerais tu aller ensuite,Wo würdest du gerne als nächstes hingehen
432,where would you most like to go,where would you most like to go,donde te gustaria mas ir,où aimeriez-vous le plus aller,wohin würdest du am liebsten gehen
433,where's the blouse i bought you,where is the blouse i bought you,donde esta la blusa que te compre,où est le chemisier que je t'ai acheté,"Wo ist die Bluse, die ich dir gekauft habe?"
434,where's the closest supermarket,where is the closest supermarket,¿Dónde está el supermercado más cercano?,où est le supermarché le plus proche,Wo ist der nächste Supermarkt?
435,where's the nearest gas station,where is the nearest gas station,Dónde está la gasolinera más cercana,Où est la station d'essence la plus proche,Wo ist die nächste Tankstelle
436,where's the nearest post office,where is the nearest post office,Dónde queda la oficina de correos más cercana,Où est la poste la plus proche,Wo ist die nächste Post
437,where's the nearest supermarket,where is the nearest supermarket,Dónde está el supermercado más cercano,Où est le supermarché le plus proche,Wo ist der nächste Supermarkt
438,where've you been all afternoon,where have you been all afternoon,donde has estado toda la tarde,Où étais-tu tout l'après-midi,Wo warst du den ganzen Nachmittag?
439,which group do you want to join,which group do you want to join,a que grupo quieres unirte,quel groupe voulez-vous rejoindre,welcher gruppe möchtest du beitreten
440,which is the heavier of the two,which is the heavier of the two,cual es el mas pesado de los dos,qui est le plus lourd des deux,das ist das schwerere von beiden
441,which kind of music do you like,which kind of music do you like,qué tipo de música te gusta,quel genre de musique aimes-tu,welche art von musik magst du
442,which of these rackets is yours,which of these rackets is yours,cual de estas raquetas es la tuya,laquelle de ces raquettes est la tienne,welcher dieser Schläger ist Ihrer
443,which one of you is the psychic,which one of you is the psychic,¿Cuál de ustedes es el psíquico?,lequel d'entre vous est le médium,Wer von euch ist der Hellseher?
444,who are you selling your car to,who are you selling your car to,a quien le vendes tu auto,à qui vends-tu ta voiture,an wen verkaufst du dein auto
445,who could do this kind of thing,who could do this kind of thing,quien podria hacer este tipo de cosas,qui pourrait faire ce genre de chose,wer könnte sowas machen
446,who could have spread that news,who could have spread that news,quien pudo haber difundido esa noticia,qui aurait pu répandre cette nouvelle,wer hätte diese Nachricht verbreiten können
447,who could possibly believe this,who could possibly believe this,quien podria creer esto,qui pourrait bien croire ça,wer könnte das glauben
448,who did you give the flowers to,who did you give the flowers to,a quien le diste las flores,à qui as-tu offert les fleurs,Wem hast du die Blumen geschenkt?
449,who do you have to do that with,who do you have to do that with,con quien tienes que hacer eso,avec qui dois-tu faire ça,mit wem musst du das machen
450,who do you think she lives with,who do you think she lives with,con quien crees que vive,avec qui tu penses qu'elle vit,mit wem glaubst du lebt sie zusammen?
451,who picked you for this mission,who picked you for this mission,quien te eligió para esta misión,qui t'a choisi pour cette mission,der dich für diese Mission ausgewählt hat
452,who told you you had to do that,who told you you had to do that,quien te dijo que tenias que hacer eso,qui t'as dit que tu devais faire ça,"der dir gesagt hat, dass du das tun musst"
453,who wants another piece of cake,who wants another piece of cake,quien quiere otro pedazo de pastel,qui veut un autre morceau de gâteau,wer will noch ein stück kuchen
454,who was this picture painted by,who was this picture painted by,quien fue este cuadro pintado por,qui était ce tableau peint par,von wem wurde dieses bild gemalt
455,who's going to pay for all this,who is going to pay for all this,quien va a pagar todo esto,qui va payer tout ça,wer soll das alles bezahlen
456,who's going to pay the mechanic,who is going to pay the mechanic,quien le va a pagar al mecanico,qui va payer le mécanicien,Wer bezahlt den Mechaniker?
457,who's hiding behind the curtain,who is hiding behind the curtain,quien se esconde detras de la cortina,qui se cache derrière le rideau,der sich hinter dem Vorhang versteckt
458,who's the man playing the piano,who is the man playing the piano,quien es el hombre que toca el piano,qui est l'homme qui joue du piano,"Wer ist der Mann, der Klavier spielt?"
459,who's your favorite song writer,who is your favorite song writer,quien es tu compositor de canciones favorito,qui est ton auteur-compositeur préféré,Wer ist dein Lieblings-Songwriter?
460,whoever guesses the number wins,whoever guesses the number wins,el que acierte el numero gana,celui qui devine le nombre gagne,"wer die Zahl errät, gewinnt"
461,whoever told you that is a liar,whoever told you that is a liar,quien te dijo eso es un mentiroso,celui qui t'a dit ça est un menteur,"wer dir das gesagt hat, ist ein Lügner"
462,why are you being so kind to me,why are you being so kind to me,¿Por qué eres tan amable conmigo?,pourquoi es-tu si gentil avec moi,warum bist du so nett zu mir
463,why are you so hard on yourself,why are you so hard on yourself,¿Por qué eres tan duro contigo mismo?,pourquoi es-tu si dur avec toi-même,warum bist du so hart zu dir selbst
464,why are you telling me this now,why are you telling me this now,¿Por qué me dices esto ahora?,pourquoi tu me dis ça maintenant,warum erzählst du mir das jetzt
465,why are you two always fighting,why are you two always fighting,¿Por qué ustedes dos siempre están peleando?,pourquoi vous battez-vous toujours tous les deux,warum streitet ihr euch immer?
466,why aren't you wearing your hat,why are not you wearing your hat,¿Por qué no llevas tu sombrero?,pourquoi ne portez-vous pas votre chapeau,Warum trägst du deinen Hut nicht?
467,why couldn't we survive on mars,why could not we survive on mars,¿Por qué no pudimos sobrevivir en Marte?,pourquoi ne pourrions-nous pas survivre sur mars,warum konnten wir nicht auf dem mars überleben
468,why couldn't you come yesterday,why could not you come yesterday,¿Por qué no pudiste venir ayer?,pourquoi n'as-tu pas pu venir hier,warum konntest du gestern nicht kommen
469,why did god create the universe,why did god create the universe,por que dios creo el universo,pourquoi Dieu a créé l'univers,warum hat gott das universum erschaffen
470,why did you buy only one banana,why did you buy only one banana,¿Por qué compraste solo un plátano?,pourquoi n'as-tu acheté qu'une seule banane,Warum hast du nur eine Banane gekauft?
471,why did you leave your last job,why did you leave your last job,Por qué dejaste tu último trabajo,pourquoi as-tu quitté ton dernier travail,Warum haben Sie Ihre letzte Stelle aufgegeben
472,why did you make such a mistake,why did you make such a mistake,¿Por qué cometiste tal error?,pourquoi as-tu fait une telle erreur,warum hast du so einen fehler gemacht
473,why did you paint the bench red,why did you paint the bench red,¿Por qué pintaste el banco de rojo?,pourquoi as-tu peint le banc en rouge,Warum hast du die Bank rot gestrichen?
474,why did you sign the confession,why did you sign the confession,¿Por qué firmaste la confesión?,pourquoi as-tu signé la confession,Warum hast du das Geständnis unterschrieben?
475,why did you stay home yesterday,why did you stay home yesterday,¿Por qué te quedaste en casa ayer?,pourquoi es-tu resté à la maison hier,Warum bist du gestern zu Hause geblieben?
476,why did you turn off the lights,why did you turn off the lights,¿Por qué apagaste las luces?,pourquoi as-tu éteint les lumières,warum hast du das Licht ausgeschaltet
477,why didn't the police notify us,why did not the police notify us,¿Por qué la policía no nos avisó?,pourquoi la police ne nous a-t-elle pas prévenu,Warum hat uns die Polizei nicht benachrichtigt
478,why didn't you follow my advice,why did not you follow my advice,¿Por qué no seguiste mi consejo?,pourquoi n'avez-vous pas suivi mes conseils,Warum hast du meinen Rat nicht befolgt?
479,why didn't you go to the police,why did not you go to the police,porque no fuiste a la policia,pourquoi n'êtes-vous pas allé à la police,warum bist du nicht zur polizei gegangen
480,why didn't you say it like that,why did not you say it like that,porque no lo dijiste asi,pourquoi tu ne l'as pas dit comme ça,warum hast du das nicht so gesagt
481,why do we have to do this again,why do we have to do this again,¿Por qué tenemos que hacer esto de nuevo?,pourquoi devons-nous refaire ça,warum müssen wir das nochmal machen
482,why do you always do that to me,why do you always do that to me,porque siempre me haces eso,pourquoi tu me fais toujours ça,warum tust du mir das immer an
483,why do you always wear that hat,why do you always wear that hat,¿Por qué siempre usas ese sombrero?,pourquoi portez-vous toujours ce chapeau,Warum trägst du immer diesen Hut?
484,why do you have to be like that,why do you have to be like that,porque tienes que ser asi,pourquoi tu dois être comme ça,warum musst du so sein
485,why do you want such an old car,why do you want such an old car,¿Por qué quieres un coche tan viejo?,pourquoi veux-tu une si vieille voiture,Warum willst du so ein altes Auto?
486,why do you want to go to boston,why do you want to go to boston,¿Por qué quieres ir a Boston?,pourquoi veux-tu aller à boston,Warum willst du nach Boston gehen?
487,why do you want to learn french,why do you want to learn french,¿Por qué quieres aprender francés?,pourquoi veux-tu apprendre le français,warum willst du französisch lernen
488,why do you want to study abroad,why do you want to study abroad,¿Por qué quieres estudiar en el extranjero?,pourquoi voulez-vous étudier à l'étranger,warum willst du im ausland studieren
489,why does catnip drive cats nuts,why does catnip drive cats nuts,¿Por qué la hierba gatera vuelve locos a los gatos?,pourquoi l'herbe à chat rend les chats fous,Warum treibt Katzenminze Katzen in den Wahnsinn?
490,why does catnip make cats loopy,why does catnip make cats loopy,¿Por qué la hierba gatera vuelve locos a los gatos?,pourquoi l'herbe à chat rend les chats fous,warum macht katzenminze katzen durchgeknallt
491,why does nobody eat my potatoes,why does nobody eat my potatoes,¿Por qué nadie come mis papas?,pourquoi personne ne mange mes patates,warum isst niemand meine kartoffeln
492,why doesn't anyone listen to me,why does not anyone listen to me,por que nadie me escucha,pourquoi personne ne m'écoute,warum hört mir keiner zu
493,why don't we go and see a movie,why do not we go and see a movie,porque no vamos a ver una pelicula,pourquoi n'irions-nous pas voir un film,warum gehen wir nicht ins Kino
494,why don't we take a short break,why do not we take a short break,¿Por qué no nos tomamos un breve descanso?,pourquoi ne pas faire une petite pause,Warum machen wir nicht eine kurze Pause?
495,why don't you give tennis a try,why do not you give tennis a try,¿Por qué no le das una oportunidad al tenis?,pourquoi ne pas essayer le tennis,Warum versuchen Sie es nicht mit Tennis?
496,why don't you have a girlfriend,why do not you have a girlfriend,porque no tienes novia,Pourquoi n'as tu pas de petite amie,Warum hast du keine Freundin
497,why don't you run for president,why do not you run for president,¿Por qué no te postulas para presidente?,pourquoi ne vous présentez-vous pas à la présidence,Warum kandidieren Sie nicht für das Präsidentenamt?
498,why don't you sit here a moment,why do not you sit here a moment,¿Por qué no te sientas aquí un momento?,pourquoi ne vous asseyez-vous pas ici un moment,Warum sitzen Sie nicht einen Moment hier
499,why don't you wait till morning,why do not you wait till morning,¿Por qué no esperas hasta la mañana?,pourquoi n'attends-tu pas jusqu'au matin,Warum wartest du nicht bis zum Morgen?
500,why hasn't anyone said anything,why has not anyone said anything,por que nadie ha dicho nada,pourquoi personne n'a rien dit,warum hat keiner etwas gesagt
501,why was everyone yelling at you,why was everyone yelling at you,¿Por qué todos te gritaban?,pourquoi tout le monde criait après toi,warum haben dich alle angeschrien
502,why's the yellow light flashing,why is the yellow light flashing,¿Por qué parpadea la luz amarilla?,pourquoi le voyant jaune clignote,Warum blinkt das gelbe Licht?
503,wild animals live in the forest,wild animals live in the forest,los animales salvajes viven en el bosque,les animaux sauvages vivent dans la forêt,wilde Tiere leben im Wald
504,will you explain the rule to me,will you explain the rule to me,me explicas la regla,Pouvez-vous m'expliquer la règle,kannst du mir die regel erklären
505,will you help me clean the room,will you help me clean the room,¿Me ayudarías a limpiar la habitación?,m'aideras-tu à nettoyer la chambre,"Hilfst du mir, das Zimmer aufzuräumen?"
506,will you please show me the way,will you please show me the way,por favor muéstrame el camino,pourriez-vous s'il vous plaît me montrer le chemin,kannst du mir bitte den Weg zeigen
507,will you sell your house to him,will you sell your house to him,le venderías tu casa a él,lui vendras-tu ta maison,willst du ihm dein haus verkaufen
508,will you turn on the television,will you turn on the television,encenderás la televisión,allez-vous allumer la télévision,schaltest du den fernseher ein
509,wipe your feet before coming in,wipe your feet before coming in,limpia tus pies antes de entrar,essuyez vos pieds avant d'entrer,"Wisch dir die Füße ab, bevor du reinkommst"
510,"without your help, i would fail",without your help  i would fail,sin tu ayuda fracasaria,sans votre aide j'échouerais,ohne deine hilfe würde ich scheitern
511,won't you have some tea with me,will not you have some tea with me,¿No tomarás un té conmigo?,ne veux-tu pas prendre le thé avec moi,Willst du nicht einen Tee mit mir trinken?
512,words cannot convey my feelings,words cannot convey my feelings,las palabras no pueden transmitir mis sentimientos,les mots ne peuvent exprimer mes sentiments,Worte können meine Gefühle nicht ausdrücken
513,would anyone else like to speak,would anyone else like to speak,a alguien más le gustaría hablar,est-ce que quelqu'un d'autre aimerait parler,möchte noch jemand sprechen
514,would you care for more cookies,would you care for more cookies,¿Te gustarían más galletas?,voudriez-vous plus de cookies,Hättest du Lust auf mehr Kekse?
515,"would you check the oil, please",would you check the oil  please,¿Podrías revisar el aceite por favor?,voudriez-vous vérifier l'huile s'il vous plaît,würdest du bitte mal das öl checken
516,would you like a glass of water,would you like a glass of water,Quieres un vaso de agua,voulez-vous un verre d'eau,willst du ein Glas Wasser
517,would you like a little company,would you like a little company,te gustaria un poco de compañia,Voudriez-vous un peu de compagnie,möchten Sie ein wenig Gesellschaft
518,would you like me to explain it,would you like me to explain it,quieres que te lo explique,voulez-vous que je vous explique,"möchten Sie, dass ich es erkläre"
519,would you like something easier,would you like something easier,te gustaria algo mas facil,Voudriez-vous quelque chose de plus facile,möchten Sie etwas einfacher
520,would you like something to eat,would you like something to eat,te gustaría algo de comer,Voulez-vous manger quelque chose,möchtest du etwas zu essen
521,would you like to dance with me,would you like to dance with me,te gustaría bailar conmigo,veux tu danser avec moi,willst du mit mir tanzen
522,would you like to eat something,would you like to eat something,te gustaría comer algo,Souhaitez-vous manger quelque chose,möchtest du was essen
523,would you like to give it a try,would you like to give it a try,¿Te gustaría intentarlo?,voulez-vous essayer,möchten Sie es versuchen
524,would you like to go for a walk,would you like to go for a walk,Quieres ir a dar un paseo,Voulez-vous faire une promenade,Möchten Sie jetzt einen Spaziergang machen
525,would you like to have children,would you like to have children,te gustaría tener hijos,aimeriez-vous avoir des enfants,möchtest du kinder haben
526,would you like to have some tea,would you like to have some tea,te gustaría tomar un poco de té,Voudriez-vous prendre un thé,möchten Sie einen Tee haben
527,would you like to join our team,would you like to join our team,Te gustaría unirte a nuestro equipo,vous souhaitez rejoindre notre équipe,möchten Sie unserem Team beitreten
528,would you like to see the plans,would you like to see the plans,te gustaria ver los planos,voulez-vous voir les plans,möchten Sie die Pläne sehen
529,would you like to see your room,would you like to see your room,te gustaria ver tu habitacion,Voudriez-vous voir votre chambre,Möchtest du dein Zimmer sehen?
530,would you like to take a recess,would you like to take a recess,te gustaría tomar un receso,voulez-vous faire une pause,möchten Sie eine Pause machen
531,would you like to travel abroad,would you like to travel abroad,te gustaría viajar al extranjero,Aimeriez-vous voyager à l'étranger,möchten Sie ins Ausland reisen
532,would you like to watch a movie,would you like to watch a movie,te gustaria ver una pelicula,voulez-vous regarder un film,möchten Sie einen Film ansehen
533,would you mind closing the door,would you mind closing the door,te importaría cerrar la puerta,cela te dérangerait de fermer la porte,würden Sie bitte die Tür schließen
534,would you mind helping me a bit,would you mind helping me a bit,te importaría ayudarme un poco,pourriez-vous m'aider un peu,magst du mir ein wenig helfen
535,would you mind if i have a look,would you mind if i have a look,¿te importaría si echo un vistazo?,cela vous dérangerait-il si je jetais un coup d'œil,"hättest du etwas dagegen, wenn ich mal nachsehe"
536,would you mind if i smoked here,would you mind if i smoked here,¿Te importaría si fumo aquí?,ça te dérangerait si je fumais ici,"würde es dir etwas ausmachen, wenn ich hier rauche"
537,would you mind leaving the room,would you mind leaving the room,¿te importaría salir de la habitación?,cela vous dérangerait-il de quitter la chambre,Würden Sie bitte das Zimmer verlassen?
538,would you mind leaving us alone,would you mind leaving us alone,¿Te importaría dejarnos solos?,cela vous dérangerait-il de nous laisser seuls,"Würde es Ihnen etwas ausmachen, uns in Ruhe zu lassen"
539,would you mind paying this time,would you mind paying this time,¿Te importaría pagar esta vez?,cela vous dérangerait-il de payer cette fois,würden Sie diesmal bezahlen
540,would you mind waiting a minute,would you mind waiting a minute,¿te importaría esperar un minuto?,cela vous dérangerait-il d'attendre une minute,"würden Sie etwas dagegen haben, eine Minute zu warten"
541,"would you move your car, please",would you move your car  please,¿podrías mover tu auto por favor?,voudriez-vous déplacer votre voiture s'il vous plaît,Würden Sie bitte Ihr Auto bewegen?
542,would you please turn on the tv,would you please turn on the tv,¿Podrías encender la televisión?,voudriez-vous s'il vous plaît allumer la télévision,würden Sie bitte den Fernseher einschalten
543,would you teach me how to dance,would you teach me how to dance,¿Me enseñarías a bailar?,veux-tu m'apprendre à danser,Würdest du mir das Tanzen beibringen?
544,would you work for minimum wage,would you work for minimum wage,¿Trabajarías por el salario mínimo?,travailleriez-vous au salaire minimum,würdest du für mindestlohn arbeiten
545,yesterday a truck hit this wall,yesterday a truck hit this wall,ayer un camion golpeo esta pared,hier un camion a heurté ce mur,gestern ist ein LKW gegen diese Wand gefahren
546,"yesterday, i was at tom's house",yesterday  i was at tom s house,ayer estuve en casa de tom,hier j'étais chez tom,gestern war ich bei tom zu hause
547,"yesterday, i was at tom's place",yesterday  i was at tom s place,ayer estuve en casa de tom,hier j'étais chez tom,gestern war ich bei tom
548,"yesterday, he told me the truth",yesterday  he told me the truth,ayer me dijo la verdad,hier il m'a dit la vérité,Gestern hat er mir die Wahrheit gesagt
549,you always take things too easy,you always take things too easy,siempre te tomas las cosas con demasiada calma,tu prends toujours les choses trop facilement,du nimmst es immer zu leicht
550,"you are a good cook, aren't you",you are a good cook  are not you,eres un buen cocinero no es así,vous êtes un bon cuisinier n'est-ce pas,"Sie sind ein guter Koch, nicht wahr?"
551,you are always as busy as a bee,you are always as busy as a bee,siempre estás tan ocupado como una abeja,tu es toujours aussi occupé qu'une abeille,Du bist immer so beschäftigt wie eine Biene
552,you are always doubting my word,you are always doubting my word,siempre estas dudando de mi palabra,tu doutes toujours de ma parole,Du zweifelst immer an meinem Wort
553,you are old enough to know this,you are old enough to know this,eres lo suficientemente mayor para saber esto,tu es assez vieux pour le savoir,"Du bist alt genug, um das zu wissen"
554,you are twice as strong as i am,you are twice as strong as i am,eres el doble de fuerte que yo,tu es deux fois plus fort que moi,Du bist doppelt so stark wie ich
555,you are very attractive in blue,you are very attractive in blue,eres muy atractiva en azul,tu es très jolie en bleu,du bist sehr attraktiv in blau
556,you are very early this morning,you are very early this morning,eres muy temprano esta mañana,tu es très tôt ce matin,du bist heute morgen sehr früh
557,you came at just the right time,you came at just the right time,llegaste en el momento justo,tu es venu au bon moment,du bist genau zur richtigen Zeit gekommen
558,you can do whatever you want to,you can do whatever you want to,puedes hacer lo que quieras,tu peux faire ce que tu veux,du kannst machen was du willst
559,you can eat as much as you want,you can eat as much as you want,puedes comer todo lo que quieras,tu peux manger autant que tu veux,du kannst so viel essen wie du willst
560,"you can go or stay, as you wish",you can go or stay  as you wish,puedes irte o quedarte como quieras,vous pouvez partir ou rester comme vous le souhaitez,"Sie können gehen oder bleiben, wie Sie wollen"
561,you can only smoke on the patio,you can only smoke on the patio,solo puedes fumar en el patio,vous ne pouvez fumer que sur la terrasse,Sie können nur auf der Terrasse rauchen
562,you can rent a boat by the hour,you can rent a boat by the hour,puedes alquilar un barco por horas,vous pouvez louer un bateau à l'heure,Sie können ein Boot stundenweise mieten
563,"you can run, but you can't hide",you can run  but you cannot hide,puedes correr pero no esconderte,Tu peux courir mais tu ne peux pas te cacher,"Du kannst rennen, aber du kannst dich nicht verstecken"
564,you can sit here if you want to,you can sit here if you want to,puedes sentarte aquí si quieres,tu peux t'asseoir ici si tu veux,"Sie können hier sitzen, wenn Sie möchten"
565,you can still go if you want to,you can still go if you want to,todavía puedes ir si quieres,tu peux toujours y aller si tu veux,"Sie können immer noch gehen, wenn Sie wollen"
566,you can't be happy all the time,you cannot be happy all the time,no puedes ser feliz todo el tiempo,tu ne peux pas être heureux tout le temps,du kannst nicht immer glücklich sein
567,you can't be two places at once,you cannot be two places at once,no puedes estar en dos lugares a la vez,vous ne pouvez pas être deux endroits à la fois,Sie können nicht zwei Orte gleichzeitig sein
568,you can't break the appointment,you cannot break the appointment,no puedes romper la cita,vous ne pouvez pas annuler le rendez-vous,Sie können den Termin nicht brechen
569,you can't do two things at once,you cannot do two things at once,no puedes hacer dos cosas a la vez,vous ne pouvez pas faire deux choses à la fois,Sie können nicht zwei Dinge gleichzeitig tun
570,you can't force me to marry you,you cannot force me to marry you,no puedes obligarme a casarme contigo,tu ne peux pas me forcer à t'épouser,"Du kannst mich nicht zwingen, dich zu heiraten"
571,you can't have fun all the time,you cannot have fun all the time,no puedes divertirte todo el tiempo,tu ne peux pas t'amuser tout le temps,du kannst nicht immer Spaß haben
572,you can't just change your mind,you cannot just change your mind,no puedes simplemente cambiar de opinión,vous ne pouvez pas simplement changer d'avis,Du kannst nicht einfach deine Meinung ändern
573,you can't just sit here all day,you cannot just sit here all day,no puedes sentarte aquí todo el día,vous ne pouvez pas rester assis ici toute la journée,Sie können nicht den ganzen Tag hier sitzen
574,you can't make someone like you,you cannot make someone like you,no puedes hacer que alguien como tú,tu ne peux pas rendre quelqu'un comme toi,du kannst niemanden wie dich machen
575,you can't pick who you fall for,you cannot pick who you fall for,no puedes elegir de quien te enamoras,tu ne peux pas choisir pour qui tu tombes,"du kannst dir nicht aussuchen, auf wen du dich verliebst"
576,you could come and live with me,you could come and live with me,podrías venir a vivir conmigo,tu pourrais venir vivre avec moi,Du könntest zu mir kommen und bei mir wohnen
577,you could get arrested for that,you could get arrested for that,te pueden arrestar por eso,tu pourrais être arrêté pour ça,dafür könntest du verhaftet werden
578,you deserve to be congratulated,you deserve to be congratulated,mereces ser felicitado,tu mérites d'être félicité,"du verdienst es, beglückwünscht zu werden"
579,you didn't need to tell me that,you did not need to tell me that,no necesitabas decirme eso,tu n'avais pas besoin de me le dire,das brauchtest du mir nicht zu sagen
580,"you do your thing, i'll do mine",you do your thing  i will do mine,tu haces lo tuyo yo hare lo mio,tu fais ton truc je ferai le mien,"Du machst dein Ding, ich mache meins"
581,you don't have to be so nervous,you do not have to be so nervous,no tienes que estar tan nervioso,tu n'as pas à être si nerveux,Sie müssen nicht so nervös sein
582,you don't have to come tomorrow,you do not have to come tomorrow,no tienes que venir mañana,tu n'as pas à venir demain,du musst morgen nicht kommen
583,you don't have to tell me twice,you do not have to tell me twice,no tienes que decírmelo dos veces,tu n'as pas à me le dire deux fois,das musst du mir nicht zweimal sagen
584,you don't look like you're sick,you do not look like you are sick,no pareces estar enfermo,tu n'as pas l'air d'être malade,"du siehst nicht aus, als wärst du krank"
585,you don't look very comfortable,you do not look very comfortable,no te ves muy comodo,tu n'as pas l'air très à l'aise,du siehst nicht sehr bequem aus
586,you don't need to come so early,you do not need to come so early,no hace falta que vengas tan temprano,tu n'as pas besoin de venir si tôt,Sie müssen nicht so früh kommen
587,you don't need to speak so loud,you do not need to speak so loud,no hace falta que hables tan alto,tu n'as pas besoin de parler si fort,Sie müssen nicht so laut sprechen
588,you don't need to worry anymore,you do not need to worry anymore,ya no tienes que preocuparte,vous n'avez plus besoin de vous inquiéter,Sie brauchen sich keine Sorgen mehr zu machen
589,you don't seem to be very tired,you do not seem to be very tired,no pareces estar muy cansado,tu n'as pas l'air d'être très fatigué,du scheinst nicht sehr müde zu sein
